,JOURNAL,YEAR,editor_id,FIRST_NAME,MIDDLE_NAME,LAST_NAME,INST,UNIT,CITY,STATE,COUNTRY,check,Please note here if INCORRECT
45,PLANTECOL,1990,221,Arnold,Green,VanDerValk,Iowa State University,Ecology and Evolutionary Biology Department of Botany,Armes,Iowa,United States,2x,
46,PLANTECOL,1990,899,Dale,H,Vitt,University of Alberta,Department of Botany,Edmonton,Alberta,Canada,2x,
48,PLANTECOL,1990,2604,Marinus,JA,Werger,University of Utrecht,Department of Plant Ecology and Vegetation Science,Utrecht,NA,Netherlands,2x,
51,PLANTECOL,1991,937,Elgene,O,Box,"University of Georgia, Athens",NA,NA,NA,United States,spotcheck,
56,PLANTECOL,1991,3108,Robert,L,Jefferies,University of Toronto,Department of Botany,Toronto,NA,Canada,spotcheck,
57,PLANTECOL,1991,3762,William,K,Lauenroth,Colorado State University,Range Science,Fort Collins,Colorado,United States,2x,
63,PLANTECOL,1993,3566,Tadaki,NA,Hirose,Tohoku University,Biological Institute,Sendal,NA,Japan,2x,
64,PLANTECOL,1993,127,Anslem,NA,Kratochwil,Universitat Osnabruck,Fachbereich Biologie/Chemie,Osnabruk,NA,Germany,2x,
65,PLANTECOL,1993,1324,Hans,NA,Lambers,University of Illinois at Chicago,NA,NA,NA,Australia,spotcheck,
70,PLANTECOL,1995,705,David,C,Glenn-Lewin,Wichita State University,Fairmont College of Liberal Arts and Sciences,Wichita,Kansas,United States,2x,
71,PLANTECOL,1996,1441,Juan,J,Armesto,Universidad de Chile,"Laboratorio de Sistematica y Ecologia Vegetal, Facultad de Ciencias",Casilla,NA,Chile,spotcheck,
74,PLANTECOL,1996,3041,Rodolfo,NA,Dirzo,Universidad Nacional Autonoma de Mexico,NA,Mexico D.F.,NA,Mexico,2x,
77,PLANTECOL,1996,1800,John,NA,Pastor,University of Minnesota,"Centre for Water & the Environment, Natural Resources Research Institute",Duluth,Minnesota,United States,spotcheck,
79,PLANTECOL,1997,3026,Richard,M,Cowling,University of Cape Town,"Institute for Plant Conservation, Department of Botany",Rondebosch,NA,South Africa,2x,
82,PLANTECOL,1997,1315,Henry,F,Howe,University of Illinois at Chicago,Department of Biological Sciences,Chicago,Illinois,United States,2x,
84,PLANTECOL,1997,3582,Takashi,NA,Kohyama,Hokkaido University,Graduate School of Environmental Earth Science,Sapporo,NA,Japan,spotcheck,
85,PLANTECOL,1997,1819,John,NA,Proctor,University of Stirling,School of Biological and Molecular Sciences,Stirling,Scotland,UK,2x,
91,PLANTECOL,2000,2976,Richard,Green,Baker,University of Iowa,Department of Geology,Iowa City,Iowa,United States,2x,
92,PLANTECOL,2000,2032,Kenneth,NA,Koehler,Iowa State University,Department of Statistics,Ames,Iowa,United States,2x,
95,PLANTECOL,2001,3334,Susan,M,Galatowitsch,University of Minnesota,Department of Horticultural Science,St. Paul,Minnesota,United States,2x,
98,PLANTECOL,2001,3781,William,J,Platt,Lousiana State University,Department of Biological Sciences,Baton Rouge,Louisiana,United States,spotcheck,
100,PLANTECOL,2002,3026,Richard,M,Cowling,University of Port Elizabeth,Department of Botany,Port Elizabeth,NA,South Africa,2x,
102,PLANTECOL,2002,705,David,C,Glenn-Lewin,Unity College,NA,Unity,Maine,United States,2x,
105,PLANTECOL,2002,2102,Karle,V,Sykora,Wageningen University,Department of Environmental Sciences,Wegningen,NA,The Netherlands,spotcheck,
106,PLANTECOL,2002,2586,Marcel,G A,VanDerHeijden,Vrije Universiteit,Faculteit Biologie,Amsterdam,NA,Netherlands,2x,
107,PLANTECOL,2003,3041,Rodolfo,NA,Dirzo,Universidad National Autonoma de Mexico,Departamento de Ecologia Evolutica,Mexico D.F.,NA,Mexico,2x,
109,PLANTECOL,2004,934,Edwin,NA,Bergmeier,University of Gottingen,Albrecht-von-Haller Institute of Plant Sciences,Gottingen,NA,Germany,2x,
110,PLANTECOL,2004,3716,William,J,Bond,University of Cape Town,NA,NA,NA,South Africa,2x,
114,PLANTECOL,2004,3504,Scott,NA,Wilson,University of Regina,Department of Biology,Regina,Saskatchewa,United States,spotcheck,
115,PLANTECOL,2005,1496,James,F,Cahill,University of Alberta,Department of Biological Sciences,Edmonton,Alberta,Canada,2x,
116,PLANTECOL,2005,942,Enrique,J,Chaneton,Universidad de Buenos Aires,"Departamento de Recursos Naturales, Facultad de Agronomia",Buenos Aires,NA,Argentina,2x,
119,PLANTECOL,2005,815,Duane,A,Peltzer,Landcare Research Manaaki Whenua,NA,NA,NA,New Zealand,2x,
122,PLANTECOL,2006,3723,Walter,P,Carson,University of Pittsburgh,NA,Pittsburgh,Pennsylvania,United States,spotcheck,
124,PLANTECOL,2006,2642,Neil,J,Enright,University of Melbourne,NA,Carlton,NA,Australia,2x,
127,PLANTECOL,2006,2217,Linda,S,Olsvig-Whittaker,Israel Nature and National Parks Protection Authority,NA,NA,NA,Israel,spotcheck,
129,PLANTECOL,2006,2896,Peter,NA,Poschlod,University of Regensburg,NA,Regensburg,NA,Germany,2x,
131,PLANTECOL,2006,1029,Edward,W,Stiles,Rutgers University,NA,New Brunswick,New Jersey,United States,2x,
132,PLANTECOL,2006,1043,Edward,TF,Witkowski,University of the Witwatersrand,NA,NA,NA,South Africa,2x,
135,PLANTECOL,2007,1676,Johannes,NA,Kollmann,The Royal Veterinary and Agricultural University,NA,Frederiksberg,NA,Denmark,spotcheck,
136,PLANTECOL,2007,3431,Serge,NA,Payette,Universite Laval Quebec,NA,Quebec,Quebec,Canada,2x,
141,PLANTECOL,2007,1040,Evan,NA,Weiher,University of Wisconsin-Eau Claire,Department of Biology,Eau Claire,NA,United States,spotcheck,
146,PLANTECOL,2009,376,Brian,J,Wilsey,Iowa State University,NA,NA,NA,United States,spotcheck,
148,PLANTECOL,2010,2642,Neil,J,Enright,Murdoch University,School of Environmental Science,Murdoch,Western Australia,Australia,2x,
150,PLANTECOL,2010,1766,Jeremy,NA,Midgley,University of Cape Town,NA,Rodenbosch,NA,South Africa,spotcheck,
151,PLANTECOL,2010,2868,Peter,R,Minchin,Southern Illinois University,NA,Edwardsville,Illinois,United States,2x,
155,PLANTECOL,2010,1261,Glenn,H,Stewart,New Zealand Research Centre for Urban Ecology,NA,Christchurch,NA,New Zealand,2x,
157,PLANTECOL,2011,2128,Lori,A,Biederman,Iowa State University,NA,Ames,Iowa,United States,spotcheck,
161,PLANTECOL,2011,1573,Jennifer,NA,Firn,CSIRO Sustainable Ecosystems,NA,St. Lucia,Queensland,Australia,2x,
163,PLANTECOL,2011,3064,Ray,NA,Froend,Edith Cowan University,NA,Joondalup,Western Australia,Australia,spotcheck,
164,PLANTECOL,2011,3341,Santiago,C,Gonzales-Martinez,USDA Forest Service,NA,Davis,California,United States,2x,
169,PLANTECOL,2011,2213,Laszlo,NA,Nagy,EcoScience Scotland,NA,NA,NA,UK,spotcheck,
174,PLANTECOL,2011,3875,Dick,NA,Williams,CISRO,Tropical Ecosystems,Darwin,Northern Territory,Australia,spotcheck,
179,PLANTECOL,2012,1746,Joy,N,Mast,Carthage College,NA,NA,NA,United States,spotcheck,
183,PLANTECOL,2012,1272,Glenda,M,Wardle,University of Sydney,NA,NA,NA,Australia,2x,
185,PLANTECOL,2013,2014,Karen,NA,Harper,Dalhousie University,NA,Halifax,Nova Scotia,Canada,spotcheck,
188,PLANTECOL,2013,515,Christopher,H,Lusk,The University of Waikato,NA,Hamilton,NA,New Zealand,2x,
189,PLANTECOL,2013,1762,Joseph,P,Messina,Michigan State University,NA,Lansing,Michigan,United States,spotcheck,
194,PLANTECOL,2014,2496,Martin,NA,Nunez,INIBIOMA,Laboratorio Ecotono,Bariloche,Rio Negro,Argentina,spotcheck,
197,PLANTECOL,2014,2080,Katinka,NA,Ruthrof,Murdoch University,NA,Murdoch,Western Australia,Australia,spotcheck,
