JOURNAL,YEAR,VOLUME,ISSUE,editor_id,FIRST_NAME,MIDDLE_NAME,LAST_NAME,NAME,TITLE.x,CATEGORY,INST,UNIT,CITY,STATE,COUNTRY,geo.code,
ECOGRAPHY,2008,31,1,2270,Marti,Jane,Anderson,Marti Jane Anderson,SE,SE,University of Auckland,,Auckland,,New Zealand,NZL,
ECOGRAPHY,2008,31,1,2275,Miguel,B,Araujo,Miguel B Araujo,DEIC,AE,National Museum of Natural Sciences,,Madrid,,Spain,ESP,
ECOGRAPHY,2008,31,1,2286,Michel,,Baguette,Michel Baguette,SE,SE,Museum d'Histoire Naturelle,,Brunoy,,France,FRA,
ECOGRAPHY,2008,31,1,1987,Kevin,C,Burns,Kevin C Burns,SE,SE,Victoria University of Wellington,,Wellington,,New Zealand,NZL,
ECOGRAPHY,2008,31,1,3022,Robert,K,Colwell,Robert K Colwell,SE,SE,University of Connecticut,Department of Ecology and Evolutionary Biology,Connecticut,Connecticut,United States,USA,
ECOGRAPHY,2008,31,1,1557,Jane,,Elith,Jane Elith,SE,SE,University of Melbourne,,Melbourne,,Australia,AUS,
ECOGRAPHY,2008,31,1,1173,Goran,,Englund,Goran Englund,SE,SE,University of Umea,,Umea,,Sweden,SWE,
ECOGRAPHY,2008,31,1,709,David,M,Green,David M Green,SE,SE,McGill University,,Montreal,,Canada,CAN,
ECOGRAPHY,2008,31,1,1311,Helmut,,Hillebrand,Helmut Hillebrand,SE,SE,University of Cologne,Institute of Botany,Cologne,,Germany,DEU,
ECOGRAPHY,2008,31,1,746,Douglas,,Kelt,Douglas Kelt,SE,SE,University of California Davis,"Department of Wildlife, Fish and Conservation Biology",Davis,California,United States,USA,
ECOGRAPHY,2008,31,1,1665,Jeremy,,Kerr,Jeremy Kerr,SE,SE,University of Ottawa,,Ottawa,,Canada,CAN,
ECOGRAPHY,2008,31,1,2724,Oskar,,Kindvall,Oskar Kindvall,SE,SE,Swedish University of Agricultural Sciences,,Uppsala,,Sweden,SWE,
ECOGRAPHY,2008,31,1,124,Anders,,Klemetsen,Anders Klemetsen,SE,SE,University of Tromso,Department of Aquatic BioSciences,Tromso,,Norway,NOR,
ECOGRAPHY,2008,31,1,3760,Walter,D,Koenig,Walter D Koenig,SE,SE,University of California Berkeley,,Berkeley,California,United States,USA,
ECOGRAPHY,2008,31,1,1717,John,,Linnell,John Linnell,SE,SE,The Norwegian Institute for Nature Research,,Trondheim,,Norway,NOR,
ECOGRAPHY,2008,31,1,998,Erik,,Matthysen,Erik Matthysen,SE,SE,University of Antwerp,,Antwerp,,Belgium,BEL,
ECOGRAPHY,2008,31,1,2062,Kai,,Norrdahl,Kai Norrdahl,SE,SE,University of Turku,,Turku,,Finland,FIN,
ECOGRAPHY,2008,31,1,2892,Pedro,,Peres-Neto,Pedro Peres-Neto,SE,SE,University du Quebec a Montreal,,Montreal,,Canada,CAN,
ECOGRAPHY,2008,31,1,1119,Francisco,,Pugnaire,Francisco Pugnaire,SE,SE,Consejo Superior de Investigaciones Cientificas,Estacion Experimental de Zonas Aridas,Almeria,,Spain,ESP,
ECOGRAPHY,2008,31,1,559,Carsten,,Rahbek,Carsten Rahbek,EIC,EIC,Copenhagen University,Institute of Biology,Copenhagen,,Denmark,DNK,
