JOURNAL,YEAR,VOLUME,ISSUE,editor_id,FIRST_NAME,MIDDLE_NAME,LAST_NAME,NAME,TITLE.x,CATEGORY,OLD_INST,INST,UNIT,CITY,STATE,COUNTRY,geo.code
OIKOS,1997,79,1,1398,Ilkka,,Hanski,Ilkka Hanski,Advisory.Panel,SE,,University of Helsinki,Zoology,Helsinki,,Finland,FIN
OIKOS,1997,79,1,1702,John,H,Lawton,John H Lawton,Advisory.Panel,SE,,Imperial College,,Silwood Park,,England,GBR
OIKOS,1997,79,1,2664,Nils,,Malmer,Nils Malmer,EIC,EIC,,Lund University,Ecology,Lund,,Sweden,SWE
OIKOS,1997,79,1,3439,Stuart,L,Pimm,Stuart L Pimm,Advisory.Panel,SE,,University of Tennessee,Zoology,Knoxville,TN,USA,USA
OIKOS,1997,79,1,3490,Staffan,,Ulfstrand,Staffan Ulfstrand,Deputy.EIC,EIC,,University of Uppsala,Zoology,Uppsala,,Sweden,SWE
OIKOS,1997,79,1,3490,Staffan,,Ulfstrand,Staffan Ulfstrand,Advisory.Panel,SE,,University of Uppsala,Zoology,Uppsala,,Sweden,SWE
OIKOS,1997,79,1,3543,Torbjon,,Fagerstrom,Torbjon Fagerstrom,Advisory.Panel,SE,,Lund University,Ecology,Lund,,Sweden,SWE
OIKOS,1997,79,1,3544,Tom,,Fenchel,Tom Fenchel,Advisory.Panel,SE,,University of Copenhagen,Laboratory of Marine Biology,Copenhagen,,Denmark,DNK
OIKOS,1998,81,1,500,Charles,,Krebs,Charles Krebs,Advisory.Panel,SE,,University of British Columbia,Zoology,Vancouver,,Canada,CAN
OIKOS,1998,81,1,1398,Ilkka,,Hanski,Ilkka Hanski,Advisory.Panel,SE,,University of Helsinki,Zoology,Helsinki,,Finland,FIN
OIKOS,1998,81,1,1702,John,H,Lawton,John H Lawton,Advisory.Panel,SE,,Imperial College,,Silwood Park,,England,GBR
OIKOS,1998,81,1,2664,Nils,,Malmer,Nils Malmer,EIC,EIC,,Lund University,Ecology,Lund,,Sweden,SWE
OIKOS,1998,81,1,3439,Stuart,L,Pimm,Stuart L Pimm,Advisory.Panel,SE,,University of Tennessee,Zoology,Knoxville,TN,USA,USA
OIKOS,1998,81,1,3490,Staffan,,Ulfstrand,Staffan Ulfstrand,Deputy.EIC,EIC,,University of Uppsala,Zoology,Uppsala,,Sweden,SWE
OIKOS,1998,81,1,3490,Staffan,,Ulfstrand,Staffan Ulfstrand,Advisory.Panel,SE,,University of Uppsala,Zoology,Uppsala,,Sweden,SWE
OIKOS,1998,81,1,3543,Torbjon,,Fagerstrom,Torbjon Fagerstrom,Advisory.Panel,SE,,Lund University,Ecology,Lund,,Sweden,SWE
OIKOS,1998,81,1,3544,Tom,,Fenchel,Tom Fenchel,Advisory.Panel,SE,,University of Copenhagen,Laboratory of Marine Biology,Copenhagen,,Denmark,DNK
OIKOS,1999,84,1,500,Charles,,Krebs,Charles Krebs,Advisory.Panel,SE,,University of British Columbia,Zoology,Vancouver,,Canada,CAN
OIKOS,1999,84,1,1398,Ilkka,,Hanski,Ilkka Hanski,Advisory.Panel,SE,,University of Helsinki,Zoology,Helsinki,,Finland,FIN
OIKOS,1999,84,1,1702,John,H,Lawton,John H Lawton,Advisory.Panel,SE,,Imperial College,,Silwood Park,,England,GBR
OIKOS,1999,84,1,2664,Nils,,Malmer,Nils Malmer,EIC,EIC,,Lund University,Ecology,Lund,,Sweden,SWE
OIKOS,1999,84,1,3439,Stuart,L,Pimm,Stuart L Pimm,Advisory.Panel,SE,,University of Tennessee,Zoology,Knoxville,TN,USA,USA
